bird_y,bird_vertical_movement,pipe_y,pipe_dist,space_pressed
446,3.650000000000004,512,-72.0,0
450,4.450000000000004,512,-80.0,0
456,5.250000000000004,512,-88.0,0
462,6.100000000000003,512,-96.5,0
469,6.950000000000003,512,492.5,0
477,7.800000000000002,512,484.0,0
485,8.650000000000002,512,475.5,0
495,9.500000000000002,512,467.0,0
505,10.35,512,458.5,0
516,11.150000000000002,512,450.5,0
528,11.950000000000005,512,442.5,0
541,12.800000000000002,512,434.0,0
555,13.600000000000003,512,426.0,0
569,14.400000000000004,512,418.0,0
584,15.200000000000005,512,410.0,1
570,-14.15,512,401.5,0
557,-13.3,512,393.0,0
544,-12.5,512,385.0,0
533,-11.7,512,377.0,0
522,-10.9,512,369.0,0
512,-10.099999999999998,512,361.0,0
502,-9.299999999999995,512,353.0,0
494,-8.499999999999996,512,345.0,0
486,-7.649999999999997,512,336.5,0
479,-6.799999999999997,512,328.0,0
473,-5.999999999999997,512,320.0,0
468,-5.1999999999999975,512,312.0,0
464,-4.399999999999998,512,304.0,0
460,-3.599999999999998,512,296.0,0
457,-2.799999999999998,512,288.0,0
455,-1.949999999999998,512,279.5,0
454,-1.149999999999998,512,271.5,0
454,-0.3499999999999978,512,263.5,0
454,0.4500000000000022,512,255.5,0
456,1.2500000000000022,512,247.5,0
458,2.0500000000000025,512,239.5,0
460,2.8500000000000023,512,231.5,0
464,3.650000000000002,512,223.5,0
469,4.450000000000002,512,215.5,0
474,5.250000000000002,512,207.5,0
480,6.050000000000002,512,199.5,0
487,6.900000000000002,512,191.0,0
494,7.700000000000002,512,183.0,0
503,8.500000000000002,512,175.0,0
512,9.35,512,166.5,0
522,10.150000000000002,512,158.5,0
533,11.000000000000002,512,150.0,0
545,11.800000000000002,512,142.0,0
558,12.650000000000002,512,133.5,0
571,13.450000000000005,512,125.5,1
557,-14.15,512,117.0,0
544,-13.3,512,108.5,0
531,-12.5,512,100.5,0
520,-11.7,512,92.5,0
509,-10.9,512,84.5,0
499,-10.099999999999998,512,76.5,0
489,-9.299999999999995,512,68.5,0
481,-8.499999999999996,512,60.5,0
473,-7.699999999999997,512,52.5,0
466,-6.899999999999997,512,44.5,0
460,-6.099999999999997,512,36.5,0
455,-5.299999999999997,512,28.5,0
450,-4.499999999999997,512,20.5,0
447,-3.649999999999997,512,12.0,0
444,-2.849999999999997,512,4.0,0
442,-2.049999999999997,512,-4.0,0
441,-1.2499999999999971,512,-12.0,0
440,-0.449999999999997,512,-20.0,0
440,0.350000000000003,512,-28.0,0
442,1.150000000000003,512,-36.0,0
444,1.950000000000003,512,-44.0,0
446,2.800000000000004,512,-52.5,0
450,3.600000000000003,512,-60.5,0
454,4.400000000000003,512,-68.5,0
460,5.200000000000003,512,-76.5,0
466,6.0500000000000025,512,-85.0,0
472,6.850000000000002,512,-93.0,0
480,7.700000000000003,512,502.5,0
489,8.500000000000004,512,494.5,0
498,9.300000000000004,512,486.5,0
508,10.100000000000003,512,478.5,0
519,10.900000000000006,512,470.5,0
531,11.750000000000004,512,462.0,0
543,12.550000000000006,512,454.0,0
557,13.350000000000009,512,446.0,0
571,14.150000000000007,512,438.0,1
557,-14.15,512,429.5,0
543,-13.35,512,421.5,0
531,-12.5,512,413.0,0
519,-11.7,512,405.0,0
508,-10.85,512,396.5,0
498,-10.05,512,388.5,0
489,-9.249999999999998,512,380.5,0
480,-8.449999999999998,512,372.5,0
473,-7.649999999999998,512,364.5,0
466,-6.849999999999998,512,356.5,0
460,-5.999999999999998,512,348.0,0
455,-5.199999999999998,512,340.0,0
450,-4.399999999999999,512,332.0,0
447,-3.5499999999999985,512,323.5,0
444,-2.7499999999999982,512,315.5,0
442,-1.899999999999998,512,307.0,0
441,-1.099999999999998,512,299.0,0
441,-0.299999999999998,512,291.0,0
441,0.500000000000002,512,283.0,0
443,1.300000000000002,512,275.0,0
445,2.150000000000002,512,266.5,0
448,3.000000000000002,512,258.0,0
452,3.8000000000000025,512,250.0,0
456,4.600000000000002,512,242.0,0
462,5.400000000000002,512,234.0,0
468,6.200000000000002,512,226.0,0
475,7.000000000000002,512,218.0,0
483,7.800000000000002,512,210.0,0
491,8.650000000000002,512,201.5,0
501,9.500000000000002,512,193.0,0
511,10.300000000000002,512,185.0,0
522,11.100000000000003,512,177.0,0
534,11.950000000000005,512,168.5,0
547,12.800000000000002,512,160.0,0
560,13.600000000000003,512,152.0,0
575,14.400000000000004,512,144.0,1
561,-14.2,512,136.0,0
547,-13.35,512,127.5,0
535,-12.55,512,119.5,0
523,-11.749999999999998,512,111.5,0
512,-10.949999999999998,512,103.5,0
502,-10.149999999999997,512,95.5,0
493,-9.349999999999996,512,87.5,0
484,-8.499999999999996,512,79.0,0
476,-7.649999999999997,512,70.5,0
470,-6.849999999999997,512,62.5,0
463,-6.049999999999997,512,54.5,0
458,-5.1999999999999975,512,46.0,0
454,-4.399999999999998,512,38.0,0
450,-3.599999999999998,512,30.0,0
447,-2.799999999999998,512,22.0,0
446,-1.949999999999998,512,13.5,0
444,-1.149999999999998,512,5.5,0
444,-0.3499999999999978,512,-2.5,0
445,0.5000000000000022,512,-11.0,0
446,1.3000000000000025,512,-19.0,0
448,2.1000000000000023,512,-27.0,0
451,2.900000000000002,512,-35.0,0
455,3.750000000000002,512,-43.5,0
459,4.600000000000002,512,-52.0,0
465,5.450000000000003,512,-60.5,0
471,6.3000000000000025,512,-69.0,0
478,7.150000000000002,512,-77.5,0
486,7.950000000000002,512,-85.5,0
495,8.750000000000002,512,-93.5,0
504,9.6,512,498.5,0
515,10.45,512,490.0,0
526,11.250000000000002,512,482.0,0
538,12.1,512,473.5,0
551,12.95,512,465.0,1
537,-14.2,512,457.0,0
524,-13.4,512,449.0,0
511,-12.599999999999998,512,441.0,0
499,-11.799999999999995,512,433.0,0
488,-10.999999999999996,512,425.0,0
478,-10.199999999999996,512,417.0,0
469,-9.349999999999996,512,408.5,0
460,-8.549999999999995,512,400.5,0
452,-7.749999999999996,512,392.5,0
445,-6.949999999999996,512,384.5,0
439,-6.099999999999996,512,376.0,0
434,-5.299999999999996,512,368.0,0
429,-4.449999999999996,512,359.5,0
426,-3.599999999999996,512,351.0,0
423,-2.7999999999999954,512,343.0,0
421,-1.9499999999999955,512,334.5,0
420,-1.1499999999999952,512,326.5,0
420,-0.2999999999999951,512,318.0,0
420,0.5000000000000049,512,310.0,0
422,1.350000000000005,512,301.5,0
424,2.200000000000005,512,293.0,0
427,3.0000000000000053,512,285.0,0
431,3.850000000000005,512,276.5,0
435,4.650000000000006,512,268.5,0
441,5.4500000000000055,512,260.5,0
447,6.250000000000005,512,252.5,0
454,7.100000000000005,512,244.0,0
462,7.950000000000005,512,235.5,0
471,8.800000000000004,512,227.0,0
480,9.600000000000003,512,219.0,0
491,10.400000000000006,512,211.0,0
502,11.200000000000006,512,203.0,0
514,12.000000000000009,512,195.0,0
527,12.800000000000008,512,187.0,0
540,13.600000000000009,512,179.0,0
555,14.40000000000001,512,171.0,0
570,15.20000000000001,512,163.0,0
586,16.00000000000001,512,155.0,1
572,-14.2,512,147.0,0
558,-13.4,512,139.0,0
546,-12.599999999999998,512,131.0,0
534,-11.799999999999995,512,123.0,0
523,-10.999999999999996,512,115.0,0
